nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud
Yeh Andol MD,"4201 Belle Meade Circle, Belmont",28012,,,"point_of_interest, doctor, health, establishment",35.2035453,-81.03267489999999
Gaston county,"4061 Belle Meade Circle, Belmont",28012,,,"point_of_interest, food, store, establishment",35.206101,-81.0333814
B&M Tree Service,"832 Edgewater Drive, Belmont",28012,4.8,5.0,"point_of_interest, establishment",35.1933562,-81.0483088
A,"2321 Wishbone Drive, Belmont",28012,,,"point_of_interest, establishment",35.207752,-81.0341777
Thomas Siding & Windows,"327 Paradise Circle, Belmont",28012,4.1,8.0,"general_contractor, point_of_interest, establishment",35.1909932,-81.0431144
Rouse HVAC,"805 Edgewater Drive, Belmont",28012,,,"general_contractor, point_of_interest, establishment",35.1919844,-81.04784339999999
All Action Auto Glass,"611 Edgewater Drive, Belmont",28012,5.0,182.0,"car_repair, point_of_interest, establishment",35.1911771,-81.0460447
E Hairston Construction Inc,"6030 Robert Street, Belmont",28012,4.5,2.0,"general_contractor, point_of_interest, establishment",35.21025900000001,-81.036322
Morrow painting,"320 Paradise Circle, Belmont",28012,5.0,10.0,"painter, point_of_interest, establishment",35.18984839999999,-81.04378799999999
Cramerton,Cramerton,28012,,,"locality, political",35.2350637,-81.0719744
South Point United Methodist Church Weekday School,"510 South Point Church Road, Belmont",28012,,,"school, point_of_interest, establishment",35.2043927,-81.02876380000001
Living Hope Church of Belmont,"510 South Point Church Road, Belmont",28012,,,"church, place_of_worship, point_of_interest, establishment",35.2043927,-81.02876380000001
South Point United Methodist Church,"510 South Point Church Road, Belmont",28012,4.8,12.0,"church, place_of_worship, point_of_interest, establishment",35.2045512,-81.0287608
South Point United Methodist Weekday School,"510 South Point Road, Belmont",28012,5.0,1.0,"church, place_of_worship, school, point_of_interest, establishment",35.2044257,-81.0286574
McLean Self Storage,"1322 South Point Road, Belmont",28012,5.0,252.0,"storage, point_of_interest, establishment",35.21121180000001,-81.0312119
Belmont Animal Hospital,"1806 South Point Road, Belmont",28012,5.0,93.0,"veterinary_care, point_of_interest, establishment",35.2022538,-81.0253017
High Gear Automotive LLC,"1308 South Point Road, Belmont",28012,,,"car_dealer, store, point_of_interest, establishment",35.2129455,-81.0317118
Mount Pleasant Cemetery,Belmont,28012,,,"cemetery, point_of_interest, establishment",35.2013707,-81.0243093
Lotus Self Storage,"1308 South Point Road, Belmont",28012,4.3,32.0,"storage, point_of_interest, establishment",35.2128564,-81.03126929999999
Hunt Brothers Pizza - Belmont,"1901 South Point Road, Belmont",28012,4.8,11.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",35.2017654,-81.0233169
A1 Appliance,"1847 South Point Road, Belmont",28012,5.0,1.0,"home_goods_store, store, point_of_interest, establishment",35.2024601,-81.0232386
Sow Green Lawn Care,"125 Moonlight Way, Belmont",28012,5.0,3.0,"general_contractor, point_of_interest, establishment",35.18692179999999,-81.05142289999999
Crazy Chicken Tech,"2736 Shannon Drive, Belmont",28012,5.0,1.0,"point_of_interest, establishment",35.2169361,-81.0470555
Belmont Fire Department,"5063 Graystone Estates Drive, Belmont",28012,,,"local_government_office, point_of_interest, establishment",35.20925829999999,-81.02404949999999
Brown's Bayou,Belmont,28012,5.0,1.0,"point_of_interest, establishment",35.2056467,-81.0628682
Balancing Specialty LLC,"16 Forest Hill Road, Belmont",28012,,,"point_of_interest, establishment",35.2140812,-81.02764619999999
Bunns,"1st Street, Belmont",28012,,,"meal_takeaway, restaurant, food, point_of_interest, establishment",35.196323,-81.021435
Allen Fishing Area,"425 The Hot Hole Road, Belmont",28012,4.1,94.0,"point_of_interest, establishment",35.186021,-81.03065199999999
R & M's Mobile Car Detailing,"South Point Road, Belmont",28012,,,"point_of_interest, establishment",35.19388,-81.02223149999999
Stoweville Cemetary,Cramerton,28012,,,"point_of_interest, establishment",35.2072296,-81.0629268
Tender Home Care Agency,"2025 Wade Hampton Circle, Belmont",28012,,,"health, point_of_interest, establishment",35.2190172,-81.0428191
Madrid,Madrid,28013,,,"locality, political",40.41672790000001,-3.7032905
Eurostars Madrid Gran Vía,"Calle de Leganitos, 13, Madrid",28013,4.1,1375.0,"lodging, point_of_interest, establishment",40.4212153,-3.7099122
Vincci Capitol Hotel,"Gran Vía, 41, Madrid",28013,4.4,2626.0,"lodging, point_of_interest, establishment",40.420444,-3.706584
Petit Palace Posada del Peine,"Calle de Postas, 17, Madrid",28013,4.4,1179.0,"lodging, point_of_interest, establishment",40.41571,-3.7060284
INNSiDE by Meliá Madrid Gran Vía,"Calle de Mesonero Romanos, 13, Madrid",28013,4.3,1801.0,"lodging, point_of_interest, establishment",40.420612,-3.703958
Hotel Europa,"Calle del Carmen, 4, Madrid",28013,4.4,2060.0,"lodging, point_of_interest, establishment",40.4175032,-3.7033915
Espahotel Plaza España,"Plaza de España, 7, Madrid",28013,4.0,1277.0,"lodging, point_of_interest, establishment",40.42246149999999,-3.7121006
Hotel Santo Domingo,"Calle de San Bernardo, 1, Madrid",28013,3.9,5726.0,"lodging, point_of_interest, establishment",40.4206587,-3.7085482
"Krüger - Restaurante Alemán | Cervecería Artesanal, Plaza España","Calle de la Princesa, 5, Madrid",28013,4.0,1431.0,"bar, restaurant, food, point_of_interest, establishment",40.4246643,-3.7133071
Taberna del Alabardero Madrid - Restaurante Palacio Real,"Calle de Felipe V, 6, Madrid",28013,4.3,1703.0,"bar, restaurant, food, point_of_interest, establishment",40.4186021,-3.710921599999999
Palacio de los Duques Gran Meliá - The Leading Hotels of the World,"Cuesta de Santo Domingo, 5, Madrid",28013,4.7,2302.0,"lodging, point_of_interest, establishment",40.419756,-3.709671
Petit Palace Triball,"Calle Gonzalo Jiménez de Quesada, 2, Madrid",28013,4.5,1726.0,"lodging, point_of_interest, establishment",40.42056549999999,-3.7029078
Hotel Atlántico,"Gran Vía, 38, Madrid",28013,4.7,1329.0,"lodging, point_of_interest, establishment",40.42040529999999,-3.7045863
Hotel Sterling Gran Vía,"Calle de San Bernardo, 29, 31, Madrid",28013,3.9,1414.0,"lodging, point_of_interest, establishment",40.423015,-3.707661
Intelier Palacio San Martín,"Plaza de San Martín, 5, Madrid",28013,4.5,1269.0,"lodging, restaurant, food, point_of_interest, establishment",40.4186427,-3.7067589
Hotel Mayorazgo,"Calle de la Flor Baja, 3, Madrid",28013,4.4,4709.0,"lodging, point_of_interest, establishment",40.4221209,-3.7095924
Petit Palace Plaza España,"Calle de San Bernardo, 3, Madrid",28013,4.2,1381.0,"lodging, point_of_interest, establishment",40.42088999999999,-3.7083531
Petit Palace Arenal,"Calle del Arenal, 16, Madrid",28013,4.4,1677.0,"lodging, point_of_interest, establishment",40.41734899999999,-3.7064961
Hotel Madrid II Castillas,"Calle de la Abada, 7, Madrid",28013,4.3,1313.0,"lodging, point_of_interest, establishment",40.4192202,-3.704376799999999
Centro,Centro,28013,,,"sublocality_level_1, sublocality, political",40.4167234,-3.7033851
Exe Suites 33,"Calle de Leganitos, 33, Madrid",28013,4.1,694.0,"lodging, point_of_interest, establishment",40.42209,-3.7106566
"Room Mate Mario, Madrid","Calle de Campomanes, 4, Madrid",28013,4.5,1058.0,"lodging, point_of_interest, establishment",40.4188302,-3.7093121
Hotel Meninas,"Calle de Campomanes, 7, Madrid",28013,4.3,572.0,"lodging, point_of_interest, establishment",40.41911199999999,-3.70932
Petit Palace Preciados,"Calle de Galdo, 2, Madrid",28013,4.2,1338.0,"lodging, point_of_interest, establishment",40.4181053,-3.7043429
Hotel Príncipe Pío,"Cuesta de San Vicente, 14, Madrid",28013,4.3,2400.0,"lodging, point_of_interest, establishment",40.4211673,-3.714677
Posada Del Dragón,"Calle de la Cava Baja, 14, Madrid",28013,4.3,1258.0,"clothing_store, lodging, store, point_of_interest, establishment",40.4131012,-3.7086039
Hotel Francisco I,"Calle del Arenal, 15, Madrid",28013,4.5,1723.0,"lodging, point_of_interest, establishment",40.4174456,-3.7075983
Corral de la Morería,"Calle de la Moreria, 17, Madrid",28013,4.4,3767.0,"restaurant, food, point_of_interest, establishment",40.4126689,-3.7142336
La Esquina del Real,"Calle de la Amnistía, 4, Madrid",28013,4.6,969.0,"restaurant, food, point_of_interest, establishment",40.4173635,-3.710353399999998
